Event ID,Event Name,Category,Subcategory,Description,Primary Objective,Target Occupation,Target Age Band,Target Tenure Band,Target Interests,Community Size,Budget,Planning Effort,Indoor/Outdoor,Weather Dependency,Expected Attendance %,Networking Score,Community Building Score,Entertainment Score,Learning Score,Physical Activity Score,Suitable For New Residents,Suitable For Long-term Residents,Suitable For Students,Suitable For Working Professionals,Recommended Frequency,Event Type,Ideal Community Stage,Priority,Ideal Group Size,Maximum Capacity,Event Duration (Hours),Vendor Required,Equipment Required,Food Included,Repeat Gap (Days),Suitable Season,Festival Linked,Cost Estimate (₹),Community Impact
E001,Welcome Mixer,Social,Icebreaker,Meet new residents,Integration,"Student,Working Professional",All,New,Social,All,Low,Low,Indoor,No,80,60,95,70,20,10,Yes,No,Yes,Yes,Monthly,Major,Growing,High,30-80,100,2,No,No,No,60,All,No,5000,10
E002,Networking Mixer,Professional,Networking,Career networking,Connections,Working Professional,"23-27,28-35","1-3 Months,3-6 Months","Career,Networking,Learning",Medium,Low,Medium,Indoor,No,70,95,70,30,70,10,Yes,Yes,No,Yes,Quarterly,Major,Balanced,High,30-80,100,2,No,No,No,60,All,No,5000,9
E003,Sports Tournament,Sports,Competition,Team sports,Engagement,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Sports,Competition,Outdoor",Large,Medium,High,Outdoor,Yes,75,50,90,80,10,95,No,Yes,Yes,Yes,Quarterly,Major,All,High,30-80,100,2,No,No,No,60,Winter,No,5000,9
E004,Movie Night,Entertainment,Screening,Movie screening,Relaxation,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Movies,Entertainment,Social",Large,Low,Low,Indoor,No,85,30,65,95,5,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,7
E005,Regional Food Night,Cultural,Food,Regional cuisine,Cultural exchange,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Food,Culture,Social",Large,Medium,Medium,Indoor,No,78,55,88,75,15,5,Yes,Yes,Yes,Yes,Quarterly,Major,All,High,30-80,100,2,No,No,No,60,All,No,5000,8
E006,Board Game Night,Entertainment,Games,Tabletop games,Social bonding,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Games,Strategy,Social",Medium,Low,Low,Indoor,No,65,45,82,85,10,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E007,Skill Share,Learning,Workshop,Residents teach skills,Learning,Working Professional,"23-27,28-35",3-6 Months,"Learning,Knowledge,Career",Small,Low,Medium,Indoor,No,55,70,72,40,95,5,No,Yes,No,Yes,Monthly,Minor,Balanced,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E008,Festival Celebration,Cultural,Festival,Celebrate festivals,Community,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Culture,Festival,Social",Large,High,High,Mixed,No,90,60,95,90,20,10,Yes,Yes,Yes,Yes,Festival,Major,All,High,30-80,100,2,No,No,No,60,All,Yes,5000,10
E009,Wellness Session,Wellness,Health,Yoga/Meditation,Wellbeing,"Student,Working Professional",All,6+ Months,"Fitness,Wellness,Health",Medium,Medium,Medium,Indoor,No,60,30,70,35,80,50,No,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E010,Open Mic,Entertainment,Performance,Talent showcase,Expression,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Music,Performance,Entertainment",Medium,Low,Medium,Indoor,No,68,55,78,92,20,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
